scope,path,remote_ledger_rows,non_application_cache_rows,rows_without_provider_cache_details,policy_equivalent_cached_input_tokens,policy_equivalent_uncached_input_tokens,policy_equivalent_output_tokens,policy_equivalent_cached_input_cost,policy_equivalent_uncached_input_cost,policy_equivalent_output_cost,policy_equivalent_total_cost,actual_executed_unique_cached_input_tokens,actual_executed_unique_uncached_input_tokens,actual_executed_unique_output_tokens,actual_executed_unique_cached_input_cost,actual_executed_unique_uncached_input_cost,actual_executed_unique_output_cost,actual_executed_unique_total_cost
Preparation-ASQA,artifacts/prepared/asqa_top5_76.probes.jsonl.calls.jsonl,1759,1759,0,326784,147258,70265,0.032678400000000614,0.4417740000000005,0.6323849999999962,1.1068374000000047,326784,147258,70265,0.032678400000000614,0.4417740000000005,0.6323849999999962,1.1068374000000047
Preparation-HaluEvalQA,artifacts/prepared/haluevalqa_3206.probes.jsonl.calls.jsonl,28037,28037,0,5512704,2263427,1447356,0.5512703999999362,6.790280999999885,13.026204000000476,20.36775539999978,5512704,2263427,1447356,0.5512703999999362,6.790280999999885,13.026204000000476,20.36775539999978
Preparation-RQ3-Main700,artifacts/prepared/rq3_main700.probes.jsonl.calls.jsonl,1400,1400,0,309248,71312,49165,0.030924800000000547,0.21393599999999932,0.44248500000000013,0.6873457999999981,309248,71312,49165,0.030924800000000547,0.21393599999999932,0.44248500000000013,0.6873457999999981
Preparation-RQ3-Replication140,artifacts/prepared/rq3_replication140.probes.jsonl.calls.jsonl,280,280,0,36096,40108,10450,0.003609599999999991,0.12032399999999997,0.09405,0.21798360000000014,36096,40108,10450,0.003609599999999991,0.12032399999999997,0.09405,0.21798360000000014
RQ1-ASQA-DeepSeek,artifacts/runs/rq1/asqa_top5_76/deepseek_v4_flash/primary/calls.jsonl,4005,3100,0,3467648,397101,109397,0.3467648000000032,1.1913029999999927,0.984572999999982,2.522640799999994,2699648,290227,85429,0.2699647999999917,0.8706810000000004,0.7688609999999894,1.9095067999999944
RQ1-HaluEvalQA-DeepSeek,artifacts/runs/rq1/haluevalqa_3206/deepseek_v4_flash/primary/calls.jsonl,53430,48282,0,14794752,4917597,1418305,1.479475200000388,14.75279100000011,12.764745000000655,28.997011199999864,13399168,4447327,1280550,1.3399168000000936,13.341981000000224,11.524950000000688,26.206847799999828
RQ2-ASQA-matrix,artifacts/runs/rq2/asqa_top5_76/matrix/primary/calls.jsonl,4005,0,0,3467648,397101,109397,0.3467648000000032,1.1913029999999927,0.984572999999982,2.522640799999994,,,,,,,
RQ2-HaluEvalQA-matrix,artifacts/runs/rq2/haluevalqa_3206/matrix/primary/calls.jsonl,53430,0,0,14794752,4917597,1418305,1.479475200000388,14.75279100000011,12.764745000000655,28.997011199999864,,,,,,,
RQ3-Main700,artifacts/runs/rq3/main700/structure_aware/primary/calls.jsonl,1975,1946,0,989184,156015,55566,0.09891839999999937,0.4680449999999997,0.5000939999999963,1.0670574000000015,977024,153774,54718,0.0977023999999994,0.4613219999999996,0.4924619999999967,1.0514864000000017
RQ3-Replication140,artifacts/runs/rq3/replication140/structure_aware/primary/calls.jsonl,450,440,0,240128,72519,12942,0.024012800000000053,0.21755699999999975,0.11647799999999996,0.3580478000000004,236288,70357,12687,0.023628800000000054,0.21107099999999976,0.11418299999999997,0.3488828000000005
Hosted-ASQA-replicate-01,artifacts/reviewer/hosted_repeats_20260829/runs/asqa_top5_76/replicate_01/calls.jsonl,4005,3100,0,3587584,277165,109302,0.35875840000000786,0.8314950000000007,0.9837179999999831,2.1739713999999877,2778240,211635,85323,0.2778239999999941,0.6349050000000006,0.7679069999999896,1.6806359999999956
Hosted-ASQA-replicate-02,artifacts/reviewer/hosted_repeats_20260829/runs/asqa_top5_76/replicate_02/calls.jsonl,4005,3100,0,3587584,277165,109080,0.35875840000000786,0.8314950000000007,0.9817199999999816,2.1719733999999917,2778240,211635,85187,0.2778239999999941,0.6349050000000006,0.7666829999999889,1.679411999999998
Hosted-ASQA-replicate-03,artifacts/reviewer/hosted_repeats_20260829/runs/asqa_top5_76/replicate_03/calls.jsonl,4005,3100,0,3587584,277165,109111,0.35875840000000786,0.8314950000000007,0.981998999999983,2.172252399999992,2778240,211635,85105,0.2778239999999941,0.6349050000000006,0.7659449999999899,1.6786739999999973
Hosted-HaluEvalQA-replicate-01,artifacts/reviewer/hosted_repeats_20260829/runs/haluevalqa_3206/replicate_01/calls.jsonl,3335,3141,0,922368,311986,86668,0.09223680000000063,0.9359580000000072,0.7800119999999868,1.8082068000000118,868480,293780,81664,0.08684800000000086,0.8813400000000052,0.7349759999999889,1.7031640000000112
Hosted-HaluEvalQA-replicate-02,artifacts/reviewer/hosted_repeats_20260829/runs/haluevalqa_3206/replicate_02/calls.jsonl,3335,3141,0,969472,264882,86779,0.09694719999999944,0.7946460000000034,0.7810109999999886,1.6726042000000128,912384,249876,81497,0.09123839999999994,0.7496280000000025,0.73347299999999,1.5743394000000122
Hosted-HaluEvalQA-replicate-03,artifacts/reviewer/hosted_repeats_20260829/runs/haluevalqa_3206/replicate_03/calls.jsonl,3335,3141,0,969472,264882,86637,0.09694719999999944,0.7946460000000034,0.7797329999999867,1.6713262000000146,912384,249876,81657,0.09123839999999994,0.7496280000000025,0.7349129999999885,1.5757794000000127
